UID	province	city	year	微博数	微博字数	消极感受	社会比较	强迫性思维	认知偏差	休息不耐受	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
浙江 宁波_2012	浙江	宁波	2012	5309356	149356982	4.49453940924685e-06	5.177762985615223e-06	1.0348827700873894e-05	5.4523920702338835e-06	2.54735E-05	149292272	24882045.333333332	8.618664467776337e-05	0.00976005643480327	0	0	8.930803866391691e-05	0	0	85	0
浙江 宁波_2013	浙江	宁波	2013	2029758	58307015	3.586136695603587e-06	4.255320098132486e-06	9.746055708626015e-06	5.988333525194506e-06	2.35758E-05	58279987	677674.2674418605	8.218944866957503e-05	0.00953265483741443	0	0	0.00011976667050389013	0	1	36	0
浙江 宁波_2014	浙江	宁波	2014	1316156	37972806	2.873149349149959e-06	4.0065935878054475e-06	8.329497195700798e-06	5.640862024936617e-06	2.08501E-05	37937464	357900.6037735849	7.343664299753932e-05	0.012035438109410792	0	0	0.00020871189492265482	0	1	17	0
浙江 宁波_2015	浙江	宁波	2015	907375	24635392	2.926176469249462e-06	4.714395422679689e-06	9.835204243866247e-06	5.974276958050985e-06	2.34501E-05	24605488	2236862.5454545454	8.144524506077669e-05	0.010916670297293027	0	0	0.00024807473844859327	0	0	95	0
浙江 宁波_2016	浙江	宁波	2016	875997	25241622	1.388093929698674e-06	4.045302309407565e-06	7.773326006312576e-06	4.878158667226769e-06	1.80849E-05	25214432	25214432	6.345572250051082e-05	0.009209646285111638	0	0	0.0001923501588296734	0	0	136	0
浙江 宁波_2017	浙江	宁波	2017	648292	20640263	1.8910056353422553e-06	3.97596056661705e-06	9.067129584846198e-06	5.624529582043631e-06	2.05586E-05	20623947	5155986.75	7.219762541088764e-05	0.010209006064649022	0	0	0.00016175371280773753	0	0	5	0
浙江 宁波_2018	浙江	宁波	2018	632977	20168369	1.8854693476519183e-06	4.118261996187085e-06	1.051893425532123e-05	6.301437030310359e-06	2.28241E-05	20154133	20154133	8.067824103373735e-05	0.010254472370505842	0	0	0.00014781087333302803	0	0	9	0
浙江 宁波_2019	浙江	宁波	2019	540941	16231322	2.528076135294249e-06	5.241133451219785e-06	1.0173964934720759e-05	7.337586831707698e-06	2.52808E-05	16217866	16217866	9.039413693515534e-05	0.010926345056741744	0	0	0.0001695044218518022	0	0	23	0
浙江 宁波_2020	浙江	宁波	2020	495642	15150151	1.849948435990826e-06	5.021288611975099e-06	1.037292515894856e-05	4.75701026397641e-06	2.20012E-05	15135557	15135557	7.743355596361601e-05	0.01356943784757971	0	0	0.00013253559152134276	0	0	36	0
浙江 宁波_2021	浙江	宁波	2021	340332	10032264	1.6960827273329518e-06	4.689169893214631e-06	1.2371426952310943e-05	6.385252620547583e-06	2.51419E-05	10023096	10023096	8.779722353252926e-05	0.012096561780910809	0	0	0.0001267073566889911	0	0	3	0
浙江 宁波_2022	浙江	宁波	2022	239869	7643297	3.0115074938745283e-06	3.5352479275918375e-06	1.9116525830681787e-05	5.4992745540317475e-06	3.11626E-05	7637371	7637371	0.00010396247609288589	0.01244970291478573	0	0	0.00010147470903272867	0	0	3	0
浙江 宁波_2023	浙江	宁波	2023	273605	9539205	1.2585472400426101e-06	4.824431086830006e-06	1.7095266677245456e-05	6.922009820234356e-06	3.01003E-05	9534803	9534803	0.00010414478411352599	0.01008704637106818	0	0	9.564959024323838e-05	0	0	5	0
浙江 宁波_2024	浙江	宁波	2024	486994	20004875	1.2001634022472159e-06	4.050551482584354e-06	9.55130040955076e-06	3.850524248876485e-06	1.86525E-05	19997277	19997277	6.340863308539457e-05	0.013335715657686794	0	0	4.115560333539411e-05	0	0	27	0
浙江 衢州_2010	浙江	衢州	2010	55675	1262628	2.377955402239083e-06	4.755910804478166e-06	1.4267732413434496e-05	6.341214405970888e-06	2.77428E-05	1261588	1261588	9.274026068732424e-05	0.004898588128612511	0	0	0.00015932301195001854	0	0	4	0
浙江 衢州_2011	浙江	衢州	2011	357298	8756984	3.0854526393304705e-06	4.113936852440627e-06	1.2913190675716413e-05	3.5425567340460957e-06	2.36551E-05	8750742	397761	7.987894055155551e-05	0.009611527799585452	0	0	0.00014901593487729383	0	0	4	0
浙江 衢州_2012	浙江	衢州	2012	332703	9623246	4.262772253386669e-06	4.262772253386669e-06	1.3204196980002607e-05	3.846892033544067e-06	2.55766E-05	9618154	9618154	8.504750495781207e-05	0.010723471468641489	0	0	0.00010147477364159485	0	0	2	0
浙江 衢州_2013	浙江	衢州	2013	128309	3441574	3.7796345151572065e-06	4.361116748258315e-06	1.1048162428921065e-05	4.361116748258315e-06	2.355E-05	3439486	6717.746094	8.257047710035743e-05	0.00981774602367912	0	0	0.00014885945167388383	0	0	2	0
浙江 衢州_2014	浙江	衢州	2014	108973	3370973	2.078391586195798e-06	2.078391586195798e-06	5.641348591102881e-06	4.4536962561338534e-06	1.42518E-05	3367989	3367989	5.136596348741044e-05	0.012434719947125718	0	0	0.00021971568196927008	0	0	1	0
浙江 衢州_2015	浙江	衢州	2015	74517	2217190	1.8063273841940936e-06	3.612654768388187e-06	6.773727690727851e-06	4.5158184604852335e-06	1.67085E-05	2214438	71433.48387096774	6.0060385524453606e-05	0.010369222348966194	0	0	0.0002817870719342786	0	0	5	0
浙江 衢州_2016	浙江	衢州	2016	78237	2167778	1.3857094555270406e-06	3.2333220628964283e-06	1.2933288251585713e-05	4.157128366581122e-06	2.17094E-05	2164956	1082478	7.205689168740611e-05	0.008909187992735186	0	0	0.00022494683494722294	0	0	21	0
浙江 衢州_2017	浙江	衢州	2017	64848	1777835	5.629847650692724e-07	0	7.881786710969815e-06	2.8149238253463622e-06	1.12597E-05	1776247	1776247	3.828296402471053e-05	0.011713461022031283	0	0	0.00020830436307563082	0	0	2	0
浙江 衢州_2018	浙江	衢州	2018	52655	1514955	3.9636847205899545e-06	4.62429884068828e-06	1.1891054161769865e-05	3.303070600491629e-06	2.37821E-05	1513743	1513743	8.257676501229073e-05	0.0129817280740522	0	0	0.000176383970066253	0	0	0	0
浙江 衢州_2019	浙江	衢州	2019	43715	1280068	1.56378523599083e-06	2.345677853986245e-06	1.56378523599083e-05	4.69135570797249e-06	2.42387E-05	1278948	426316	8.288061750751399e-05	0.01428048677506826	0	0	0.0001720163759589913	0	0	1	0
浙江 衢州_2020	浙江	衢州	2020	40430	1306368	0	3.0655428386620133e-06	1.609409990297557e-05	7.663857096655033e-07	1.9926E-05	1304826	1304826	6.437639961190228e-05	0.015473327478146512	0	0	0.00011419147074015999	0	0	1	0
浙江 衢州_2021	浙江	衢州	2021	30197	1031994	5.817143898688622e-06	2.908571949344311e-06	2.0360003645410178e-05	3.878095932459081e-06	3.29638E-05	1031434	1031434	0.0001076171621257395	0.017617220297178493	0	0	7.271429873360778e-05	0	0	1	0
浙江 衢州_2022	浙江	衢州	2022	26152	881330	1.1352155206665985e-06	6.811293123999591e-06	1.2487370727332584e-05	1.0216939685999387e-05	3.06508E-05	880890	293630	0.00010784547446332686	0.014402479310697136	0	0	8.854681061199469e-05	0	0	0	0
浙江 衢州_2023	浙江	衢州	2023	23830	712970	1.4033078773284386e-06	7.016539386642193e-06	2.1049618159926578e-05	1.2629770895955948e-05	4.20992E-05	712602	712602	0.00014734732711948605	0.010524809079963289	0	0	7.29720096210788e-05	0	0	0	0
浙江 衢州_2024	浙江	衢州	2024	29792	976713	1.0242197238089092e-06	4.096878895235637e-06	8.193757790471274e-06	6.145318342853455e-06	1.94602E-05	976353	976353	7.579225956185929e-05	0.012633750293182896	0	0	4.8138327019018736e-05	0	0	0	0
浙江 绍兴_2010	浙江	绍兴	2010	185506	4923034	4.26735941489219e-06	2.8449062765947937e-06	1.3208493427047256e-05	6.705850509116299e-06	2.70266E-05	4921076	4921076	9.245945398933079e-05	0.006725561645461277	0	0	0.0001524056933890068	0	0	4	0
浙江 绍兴_2011	浙江	绍兴	2011	1428348	39216636	3.6485116725838893e-06	5.102813528089356e-06	1.1098619423594348e-05	5.255897933932036e-06	2.51058E-05	39194064	7838812.8	8.480876083684508e-05	0.009818017340585043	0	0	0.00010942983610987623	0	0	124	0
浙江 绍兴_2012	浙江	绍兴	2012	1252179	34733348	4.8105282703224225e-06	5.3290283234110664e-06	9.70747321615962e-06	5.818722817994786e-06	2.56658E-05	34715522	4339440.25	8.609981437121988e-05	0.010784109770839684	0	0	0.0001046793996068963	0	0	29	0
浙江 绍兴_2013	浙江	绍兴	2013	500328	14858404	3.2995775328668226e-06	4.444328921820618e-06	1.0100747549592313e-05	5.925771895760824e-06	2.37704E-05	14850386	825021.4444444445	8.228742337067872e-05	0.009639547416477929	0	0	0.00012861618546480878	0	0	8	1
浙江 绍兴_2014	浙江	绍兴	2014	390274	10340544	3.291786469944344e-06	4.7440452066844955e-06	8.13264892574485e-06	3.9695072137564145e-06	2.0138E-05	10328738	10328738	7.18383988440795e-05	0.011387741658274225	0	0	0.0002547261824242226	0	0	2	0
浙江 绍兴_2015	浙江	绍兴	2015	288240	7177604	2.5114606320174395e-06	2.7905118133527106e-06	9.34821457473158e-06	4.464818901364337e-06	1.9115E-05	7167144	7167144	6.766991147380323e-05	0.011095633072253048	0	0	0.0002878412935473321	0	1	28	0
浙江 绍兴_2016	浙江	绍兴	2016	286729	6990936	1.5755014677944584e-06	2.8645481232626514e-06	1.0455600649908679e-05	4.296822184893977e-06	1.91925E-05	6981904	6981904	6.846270014597738e-05	0.009090500241767862	0	0	0.00023603876535684248	0	0	18	0
浙江 绍兴_2017	浙江	绍兴	2017	199300	5379640	1.4887897851155263e-06	2.047085954533849e-06	8.374442541274837e-06	4.280270632207138e-06	1.61906E-05	5373492	5373492	5.6760110557529445e-05	0.011148057910945062	0	0	0.00020731397757733704	0	0	3	0
浙江 绍兴_2018	浙江	绍兴	2018	191644	5432745	1.8426396771547874e-06	4.238071257456011e-06	1.1240102030644203e-05	6.264974902326277e-06	2.35858E-05	5426997	5426997	8.162893769795708e-05	0.010962047703361545	0	0	0.00017191828187854166	0	0	1	1
浙江 绍兴_2019	浙江	绍兴	2019	149843	4079039	1.2274188682265196e-06	3.436772831034255e-06	1.0555802266748068e-05	5.155159246551383e-06	2.03752E-05	4073589	4073589	7.560900228275362e-05	0.012501752140434393	0	0	0.00018435831400762326	0	0	10	0
浙江 绍兴_2020	浙江	绍兴	2020	138397	3683766	1.903307622366366e-06	4.894219600370655e-06	1.4954559890021447e-05	5.981823956008579e-06	2.77339E-05	3677808	3677808	9.706868874068467e-05	0.013461551010819488	0	0	0.00016857867512387815	0	0	2	0
浙江 绍兴_2021	浙江	绍兴	2021	100525	2768427	3.254769231436876e-06	6.87117948858896e-06	2.025189744005167e-05	9.402666668595419e-06	3.97805E-05	2765173	2765173	0.00013850851284892484	0.015791055387854577	0	0	0.00013995507695178567	0	0	4	0
浙江 绍兴_2022	浙江	绍兴	2022	71155	2083618	1.92176679552113e-06	4.804416988802826e-06	3.507224401826063e-05	4.804416988802826e-06	4.66028E-05	2081418	260177.25	0.00015326090194281013	0.011150571389312478	0	0	0.00012155174981671149	0	0	3	0
浙江 绍兴_2023	浙江	绍兴	2023	82692	2913835	1.3736881707247133e-06	5.494752682898853e-06	1.3393459664565954e-05	9.272395152391814e-06	2.95343E-05	2911869	970623	0.00010165292463362879	0.013376288562431895	0	0	8.345155637152634e-05	0	0	3	0
浙江 绍兴_2024	浙江	绍兴	2024	136318	5541240	7.222654578350454e-07	5.4169909337628404e-06	1.0472849138608158e-05	9.38945095185559e-06	2.60016E-05	5538130	5538130	9.046374859383944e-05	0.012407617733783786	0	0	6.229539573827266e-05	0	0	1	0
浙江 台州_2010	浙江	台州	2010	177656	4745713	5.270588870245059e-06	3.3731768769568378e-06	1.4968472391495968e-05	8.222118637582292e-06	3.18344E-05	4743303	4743303	0.00011026071916552664	0.005704252922488822	0	0	0.00012965648620802845	0	0	6	0
浙江 台州_2011	浙江	台州	2011	1321008	36000956	3.1961483466407982e-06	4.252266930748192e-06	1.0394430275162248e-05	6.169955938732671e-06	2.40128E-05	35980808	35980808	8.12377531933135e-05	0.010062753454563889	0	0	0.0001009704951595306	0	0	19	0
浙江 台州_2012	浙江	台州	2012	1205959	35233245	6.275571712391968e-06	4.515004082671144e-06	8.149724350481878e-06	5.310099141254742e-06	2.42504E-05	35215915	11738638.333333334	8.268988609269417e-05	0.01006593183792044	0	0	9.893254228947338e-05	0	1	35	0
浙江 台州_2013	浙江	台州	2013	435076	12661416	3.3188421097215523e-06	6.0055238175913804e-06	1.16949674342569e-05	6.0055238175913804e-06	2.70249E-05	12655016	12655016	9.458700012706425e-05	0.00989307322882879	0	0	0.00012714326082242805	0	0	4	0
浙江 台州_2014	浙江	台州	2014	321790	9268441	2.483864331330223e-06	3.3478171422276914e-06	9.61147502123434e-06	4.967728662660446e-06	2.04109E-05	9259765	1322823.5714285714	7.224805381130082e-05	0.012228928055949584	0	0	0.0002099405330480849	0	0	22	0
浙江 台州_2015	浙江	台州	2015	247457	6450495	3.104339167680104e-06	6.208678335360208e-06	8.692149669504291e-06	5.898244418592198e-06	2.39034E-05	6442595	6442595	8.242020490190676e-05	0.008941893755544156	0	0	0.000267904470170793	0	0	15	1
