市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
贵州 黔东南_2012	314462	7665236	0.002042014160680222	7660084	7660084.0	0.003340955529991577	0.00914872473983314	0.0	0.0	0.00011631726231722785	0	0	2	0
贵州 黔东南_2013	87550	2310298	0.0019618916620037456	2308996	461799.2	0.0032537951559898763	0.009819419349362233	0.0	0.0	0.0001281942454642624	0	0	0	0
贵州 黔东南_2014	64504	1634038	0.0021866514395506367	1632176	108811.73333333334	0.0035909117644175627	0.00871413376988756	0.0	0.0	0.00021259962160943428	0	0	0	0
贵州 黔东南_2015	46090	1027733	0.0025569862850781376	1025817	1025817.0	0.0043097355571217865	0.008738400708898371	0.0	0.0	0.00029537432115084853	0	0	2	0
贵州 黔东南_2016	48738	1129485	0.002513193155958927	1128047	161149.57142857142	0.004205498529759841	0.007163708604340067	0.0	0.0	0.00023048685028194746	0	0	6	0
贵州 黔东南_2017	33553	857389	0.0019079312257348864	856425	428212.5	0.00305922877076218	0.00707475844352979	0.0	0.0	0.00017397904077998656	0	0	0	0
贵州 黔东南_2018	27472	647724	0.002104840205229647	647080	647080.0	0.0034014341348828584	0.005538727823453051	0.0	0.0	0.00025962786672436173	0	0	0	0
贵州 黔东南_2019	22433	490926	0.0021841007255864035	490362	245181.0	0.0035912244423507533	0.0055081755927253746	0.0	0.0	0.00028958198229063427	0	0	0	0
贵州 黔东南_2020	14896	336192	0.0021050563035568603	335858	335858.0	0.003459795508816226	0.007047621316151469	0.0	0.0	0.00025606059703803393	0	0	0	0
贵州 黔东南_2021	10796	270187	0.0021746942646606623	269923	134961.5	0.0035565698365830254	0.00783927268146842	0.0	0.0	0.00010002852665389759	0	0	0	0
贵州 黔东南_2022	8823	258168	0.0014653661864814154	257956	257956.0	0.002527562840174293	0.010094744840205306	0.0	0.0	0.00012017553381196793	0	0	0	0
贵州 黔东南_2023	11738	334458	0.0015499700777977259	334200	10443.75	0.002573309395571514	0.00755834829443447	0.0	0.0	0.00011071214841412328	0	0	1	0
贵州 黔东南_2024	18916	1073307	0.001272085595983751	1073041	59613.38888888889	0.0020679545329582	0.014436540635446362	0.0	0.0	2.9821786865553134e-05	0	0	1	0
贵州 黔南_2010	19429	447525	0.002273800491910776	446829	111707.25	0.00379339747420154	0.005460701968762099	0.0	0.0	0.0023722721667573054	0	0	0	0
贵州 黔南_2011	208791	4734919	0.0021582741416099234	4731095	295693.4375	0.003553088661292999	0.0069372946432062765	0.0	0.0	0.00011498395191810775	0	0	0	0
贵州 黔南_2012	221993	5048933	0.0022090991097598175	5045043	5045043.0	0.003637035402869708	0.006933340310479019	0.0	0.0	0.000145092915957307	0	0	1	0
贵州 黔南_2013	69299	1603044	0.0023860418425087526	1601816	1601816.0	0.003953637621299824	0.0063147078066394646	0.0	0.0	0.0002416007831111688	0	0	2	0
贵州 黔南_2014	48801	1144959	0.0024347759140033298	1143021	163288.7142857143	0.003897566186448018	0.008862479342024337	0.0	0.0	0.00041206592004871303	0	0	2	0
贵州 黔南_2015	37267	683110	0.0027399552097305832	681398	681398.0	0.004395375390007015	0.005270047754763002	0.0	0.0	0.0005151174497136768	0	0	13	0
贵州 黔南_2016	38321	910950	0.002281167342038781	909622	909622.0	0.0037839893933963777	0.005546259874981036	0.0	0.0	0.000301224024924639	0	0	0	0
贵州 黔南_2017	29151	701314	0.002175831141797374	700422	700422.0	0.003516451510660716	0.006043499490307272	0.0	0.0	0.0002784035909780104	0	0	1	0
贵州 黔南_2018	31256	800941	0.0024931173714669904	800203	800203.0	0.003995236208812014	0.015504815653028045	0.0	0.0	0.00024618752991428425	0	0	0	0
贵州 黔南_2019	32451	588134	0.002752093465524704	586826	53347.818181818184	0.0044715128504871976	0.005383197063524792	0.0	0.0	0.00036637776785622997	0	0	0	0
贵州 黔南_2020	35250	573688	0.0027535406409320107	572354	13008.045454545454	0.004623013030397272	0.01695978363041055	0.0	0.0	0.0002673170799889579	0	0	1	0
贵州 黔南_2021	16101	293127	0.0028162948633379246	292583	97527.66666666667	0.004808891835820946	0.006405020113950571	0.0	0.0	0.0002631731850449274	0	0	0	0
贵州 黔南_2022	9244	180654	0.0025790063338177057	180302	4397.609756097561	0.004292797639515923	0.005601712682055662	0.0	0.0	0.00021075750684961897	0	0	0	0
贵州 黔南_2023	8354	208566	0.0019489247311827956	208320	208320.0	0.003192204301075269	0.006384408602150538	0.0	0.0	0.0001872119815668203	0	0	1	0
贵州 黔南_2024	13981	358113	0.0020576764471532216	357685	357685.0	0.0034611459804017503	0.006961432545396089	0.0	0.0	0.00014817507024337057	0	0	0	0
贵州 黔西南_2010	9814	299606	0.001769686932364569	299488	149744.0	0.0029951116572283364	0.007025323218292552	0.0	0.0	5.008547921786516e-05	0	0	0	0
贵州 黔西南_2011	106396	2804459	0.002196436962508933	2802721	934240.3333333334	0.003626832638710739	0.009923213905344128	0.0	0.0	8.884223581298317e-05	0	0	2	0
贵州 黔西南_2012	115951	3742660	0.003089462098428728	3741428	1247142.6666666667	0.004909355465346386	0.013937191895714685	0.0	0.0	5.98701886017852e-05	0	0	0	0
贵州 黔西南_2013	36878	1172221	0.0024314122417211223	1171747	41848.107142857145	0.0039061333205888302	0.010492026009027546	0.0	0.0	8.875636122814908e-05	0	0	1	0
贵州 黔西南_2014	27822	888736	0.002020038238850943	888102	296034.0	0.003227106796291417	0.012365696733032918	0.0	0.0	0.00016889951829857382	0	0	0	0
贵州 黔西南_2015	18899	519681	0.002404897666594083	518941	518941.0	0.0037634336080594904	0.010850944519704551	0.0	0.0	0.0002967582056534365	0	0	1	0
